ADESSO;NOW
FATT.DOPPIO;FACTDOUBLE
FATTORIALE;FACT
FILTRO.XML;FILTERXML
FINE.MESE;EOMONTH
FISHER;FISHER
FISSO;FIXED
FOGLI;SHEETS
FOGLIO;SHEET
FRAZIONE.ANNO;YEARFRAC
FREQUENZA;FREQUENCY
FUNZ.ERRORE;ERF
FUNZ.ERRORE.COMP;ERFC
FUNZ.ERRORE.COMP.PRECISA;ERFC.PRECISE
FUNZ.ERRORE.PRECISA;ERF.PRECISE
GAMMA;GAMMA
GAUSS;GAUSS
GIORNI;DAYS
GIORNI.CED;COUPDAYS
GIORNI.CED.INIZ.LIQ;COUPDAYBS
GIORNI.CED.NUOVA;COUPDAYSNC
GIORNI.LAVORATIVI.TOT;NETWORKDAYS
GIORNI.LAVORATIVI.TOT.INTL;NETWORKDAYS.INTL
GIORNO;DAY
GIORNO.LAVORATIVO;WORKDAY
GIORNO.LAVORATIVO.INTL;WORKDAY.INTL
GIORNO.SETTIMANA;WEEKDAY
GIORNO360;DAYS360
GRADI;DEGREES
GRANDE;LARGE
HEX.BINARIO;HEX2BIN
HEX.DECIMALE;HEX2DEC
HEX.OCT;HEX2OCT
IDENTICO;EXACT
INC.PERCENT.RANGO;PERCENTRANK.INC
INC.PERCENTILE;PERCENTILE.INC
INC.QUARTILE;QUARTILE.INC
INDICE;INDEX
INDIRETTO;INDIRECT
INDIRIZZO;ADDRESS
INFO.DATI.TAB.PIVOT;GETPIVOTDATA
INT;INT
INT.CUMUL;CUMIPMT
INT.MATURATO.PER;ACCRINT
INT.MATURATO.SCAD;ACCRINTM
INTERCETTA;INTERCEPT
INTERESSE.RATA;ISPMT
INTERESSI;IPMT
INTERVALLO.DISTRIB.BINOM.N.;BINOM.DIST.RANGE
INV.BETA;BETAINV
INV.BETA.N;BETA.INV
INV.BINOM;BINOM.INV
INV.CHI;CHIINV
INV.CHI.QUAD;CHISQ.INV
INV.CHI.QUAD.DS;CHISQ.INV.RT
INV.F;FINV
INV.F.DS;F.INV.RT
INV.FISHER;FISHERINV
INV.GAMMA;GAMMAINV
INV.GAMMA.N;GAMMA.INV
INV.LOGNORM;LOGINV
INV.LOGNORM.N;LOGNORM.INV
INV.NORM;NORMINV
INV.NORM.N;NORM.INV
INV.NORM.S;NORM.S.INV
INV.NORM.ST;NORMSINV
INV.T;TINV
INV.T.2T;T.INV.2T
INVF;F.INV
INVT;T.INV
LIBERA;CLEAN
LN;LN
LN.GAMMA;GAMMALN
LN.GAMMA.PRECISA;GAMMALN.PRECISE
LOG;LOG
LOG10;LOG10
LUNGHEZZA;LEN
MAIUSC;UPPER
MAIUSC.INIZ;PROPER
MATR.DETERM;MDETERM
MATR.INVERSA;MINVERSE
MATR.PRODOTTO;MMULT
MATR.SOMMA.PRODOTTO;SUMPRODUCT
MATR.TRASPOSTA;TRANSPOSE
MATR.UNIT;MUNIT
MAX;MAX
MAX.PIÙ.SE;MAXIFS
MAX.VALORI;MAXA
MCD;GCD
MCM;LCM
MEDIA;AVERAGE
MEDIA.ARMONICA;HARMEAN
MEDIA.DEV;AVEDEV
MEDIA.GEOMETRICA;GEOMEAN
MEDIA.PIÙ.SE;AVERAGEIFS
MEDIA.SE;AVERAGEIF
MEDIA.TRONCATA;TRIMMEAN
MEDIA.VALORI;AVERAGEA
MEDIANA;MEDIAN
MEMBRO.CUBO;CUBEMEMBER
MEMBRO.CUBO.CON.RANGO;CUBERANKEDMEMBER
MEMBRO.KPI.CUBO;CUBEKPIMEMBER
MESE;MONTH
MIN;MIN
MIN.PIÙ.SE;MINIFS
MIN.VALORI;MINA
MINUSC;LOWER
MINUTO;MINUTE
MODA;MODE
MODA.MULT;MODE.MULT
MODA.SNGL;MODE.SNGL
MULTINOMIALE;MULTINOMIAL
NOMINALE;NOMINAL
NON;NOT
NON.DISP;NA
NORMALIZZA;STANDARDIZE
NUM;N
NUM.CED;COUPNUM
NUM.RATE;NPER
NUM.SETTIMANA;WEEKNUM
NUM.SETTIMANA.ISO;ISOWEEKNUM
NUMERO.VALORE;NUMBERVALUE
O;OR
OCT.BINARIO;OCT2BIN
OCT.DECIMALE;OCT2DEC
OCT.HEX;OCT2HEX
OGGI;TODAY
ORA;HOUR
ORARIO;TIME
ORARIO.VALORE;TIMEVALUE
P.RATA;PPMT
PARI;EVEN
PEARSON;PEARSON
PENDENZA;SLOPE
PERCENT.RANGO;PERCENTRANK
PERCENTILE;PERCENTILE
PERMUTAZIONE;PERMUT
PERMUTAZIONE.VALORI;PERMUTATIONA
PHI;PHI
PI.GRECO;PI
PICCOLO;SMALL
PIÙ.SE;IFS
POISSON;POISSON
POTENZA;POWER
PREVISIONE;FORECAST
PREVISIONE.ETS;FORECAST.ETS
PREVISIONE.ETS.INTCONF;FORECAST.ETS.CONFINT
PREVISIONE.ETS.STAGIONALITÀ;FORECAST.ETS.SEASONALITY
PREVISIONE.ETS.STAT;FORECAST.ETS.STAT
PREVISIONE.LINEARE;FORECAST.LINEAR
PREZZO;PRICE
PREZZO.PRIMO.IRR;ODDFPRICE
PREZZO.SCAD;PRICEMAT
PREZZO.SCONT;PRICEDISC
PREZZO.ULTIMO.IRR;ODDLPRICE
PROBABILITÀ;PROB
PRODOTTO;PRODUCT
PROPRIETÀ.MEMBRO.CUBO;CUBEMEMBERPROPERTY
QUARTILE;QUARTILE
QUOZIENTE;QUOTIENT
RADIANTI;RADIANS
RADQ;SQRT
RADQ.PI.GRECO;SQRTPI
RANGO;RANK
RANGO.MEDIA;RANK.AVG
RANGO.UG;RANK.EQ
RATA;PMT
REGR.LIN;LINEST
REGR.LOG;LOGEST
REND;YIELD
REND.PRIMO.IRR;ODDFYIELD
REND.SCAD;YIELDMAT
REND.TITOLI.SCONT;YIELDDISC
REND.ULTIMO.IRR;ODDLYIELD
RESTO;MOD
RICERCA;SEARCH
RICEV.SCAD;RECEIVED
RIF.COLONNA;COLUMN
RIF.RIGA;ROW
RIGHE;ROWS
RIMPIAZZA;REPLACE
RIPETI;REPT
RIT.INVEST.EFFETT;RRI
ROMANO;ROMAN
RQ;RSQ
SCARTO;OFFSET
SCEGLI;CHOOSE
SE;IF
SE.ERRORE;IFERROR
SE.NON.DISP.;IFNA
SEC;SEC
SECH;SECH
SECONDO;SECOND
SEGNO;SIGN
SEN;SIN
SENH;SINH
SERVIZIO.WEB;WEBSERVICE
SET.CUBO;CUBESET
SINISTRA;LEFT
SOGLIA;GESTEP
SOMMA;SUM
SOMMA.DIFF.Q;SUMX2MY2
SOMMA.PIÙ.SE;SUMIFS
SOMMA.Q;SUMSQ
SOMMA.Q.DIFF;SUMXMY2
SOMMA.SE;SUMIF
SOMMA.SERIE;SERIESSUM
SOMMA.SOMMA.Q;SUMX2PY2
SOSTITUISCI;SUBSTITUTE
STRINGA.ESTRAI;MID
SUBTOTALE;SUBTOTAL
SWITCH;SWITCH
T;T
TAN;TAN
TANH;TANH
TASSO;RATE
TASSO.INT;INTRATE
TASSO.SCONTO;DISC
TENDENZA;TREND
TEST.CHI;CHITEST
TEST.CHI.QUAD;CHISQ.TEST
TEST.F;FTEST
TEST.T;TTEST
TEST.Z;ZTEST
TESTF;F.TEST
TESTO;TEXT
TESTO.FORMULA;FORMULATEXT
TESTO.UNISCI;TEXTJOIN
TESTT;T.TEST
TESTZ;Z.TEST
TIPO;TYPE
TIR.COST;IRR
TIR.VAR;MIRR
TIR.X;XIRR
TRONCA;TRUNC
TROVA;FIND
UNICODE;UNICODE
VA;PV
VAL.DISPARI;ISODD
VAL.ERR;ISERR
VAL.ERRORE;ISERROR
VAL.FORMULA;ISFORMULA
VAL.FUT;FV
VAL.FUT.CAPITALE;FVSCHEDULE
VAL.LOGICO;ISLOGICAL
VAL.NON.DISP;ISNA
VAL.NON.TESTO;ISNONTEXT
VAL.NUMERO;ISNUMBER
VAL.PARI;ISEVEN
VAL.RIF;ISREF
VAL.TESTO;ISTEXT
VAL.VUOTO;ISBLANK
VALORE;VALUE
VALORE.CUBO;CUBEVALUE
VALUTA;DOLLAR
VALUTA.DEC;DOLLARDE
VALUTA.FRAZ;DOLLARFR
VAN;NPV
VAN.X;XNPV
VAR;VAR
VAR.C;VAR.S
VAR.P;VAR.P
VAR.POP;VARP
VAR.POP.VALORI;VARPA
VAR.VALORI;VARA
VERO;TRUE
WEIBULL;WEIBULL
XOR;XOR
